CHEMBL170742,COCC(N)=O
CHEMBL453969,O=C(O)C(F)F
CHEMBL18360,CC(C)CC=O
CHEMBL1322495,C/C=C/CC#N
CHEMBL2000638,OCCNCO
CHEMBL47258,ClC(Cl)C(Cl)Cl
CHEMBL1492104,BrCC(Br)(Br)Br
CHEMBL1974557,[O-][S+]1CSSC1
CHEMBL3181977,CCC(Cl)CCl
CHEMBL292042,Brc1ncc[nH]1
CHEMBL15980,C1CCCCC1
CHEMBL70445,CCNCCN
CHEMBL2448813,CCN(C)CC
CHEMBL170341,NC(=O)CCO
CHEMBL1324439,BrC/C=C/CBr
CHEMBL2261442,NCCCC=O
CHEMBL173813,O=CC(O)CO
CHEMBL1231783,O=C(CCl)CCl
CHEMBL1236925,CSS(C)(=O)=O
CHEMBL3189044,CNC(=S)NC
CHEMBL458375,CP(=O)(O)CN
CHEMBL158237,C=C(C)C(N)=O
CHEMBL15698,c1ncncn1
CHEMBL1331743,ClCC(Br)CBr
CHEMBL1503158,CCCCC#N
CHEMBL1300263,CCCC(=O)Cl
CHEMBL1438332,BrC(Br)C(Br)Br
CHEMBL3276496,OCC(O)CF
CHEMBL3181847,CCC(C)=NO
CHEMBL1403428,OCC(Br)CBr
CHEMBL216796,NCC(=O)NO
CHEMBL177905,CCC1OC1C
CHEMBL1309179,O=[N+]([O-])C(Br)Br
